id,text,timestamp,decoration,citation,
735,unspoken voice over [ genome / ip ],2/23/2017,,,
736,,,,,
737,,,,,
738,a child learns to filter,2/27/2017,,,
739,improved sensors predict enough,2/27/2017,,,
740,,,,,
741,,,,,
742,you know what makes,2/15/2017,,,
743,your mother anxious,2/15/2017,,,
744,,,,,
745,,,,,
746,her mother wanted a string,2/23/2017,,,
747,quartet of [ children / theory / code ],2/23/2017,,,
748,,,,,
749,,,,,
750,such an easy baby,2/27/2017,,,
751,how to stay safe,2/27/2017,,,
752,,,,,
753,,,,,
754,in a resource-scarce environment,2/15/2017,,,
755,where things are unpredictable,2/15/2017,,,
756,,,,,
757,,,,,
758,[ dangerous / adaptive ] to pay,2/15/2017,,,
759,attention to how others are feeling,2/15/2017,,,
760,,,,,
761,,,,,
762,have you always been,11/21/2016,,,
763,hypervigilant? tornado alley floodplain,3/3/2017,,,
764,,,,,
765,,,,,
766,nothing wrong before,9/24/2016,,,
767,i started looking,9/24/2016,,,
768,,,,,
769,,,,,
770,self a forecast,5/22/2017,,,
771,self barometric,2/23/2017,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,auto sort your memories,1/8/2017,,,
781,G L I T T E R Y O U R E N E M I E S,2/9/2015,,,
782,,,,,
783,,,,,
784,business of being,1/23/2016,,,
785,explainable in binary,1/23/2016,,,
786,,,,,
787,,,,,
788,at the corporation we make new words,10/13/2016,,,
789,each day each word saves us money,10/13/2016,,,
790,,,,,
791,,,,,
792,numbers need validation,2/5/2017,,,
793,actioning as we speak,2/5/2017,,,
794,,,,,
795,,,,,
796,goal fracking thin provisioning,2/5/2017,,,
797,every moment airbnbworthy,2/9/2015,,,
798,,,,,
799,,,,,
800,self care software as a service,1/20/2017,,,
801,persevering face emoji,3/9/2017,,,
802,,,,,
803,,,,,
804,told i'm more confident,10/13/2016,,,
805,when i'm lonely,10/13/2016,,,
806,,,,,
807,,,,,
808,i develop a system get more alone,10/25/2016,,,
809,crawl into alone a shelter,10/25/2016,,,
810,,,,,
811,,,,,
812,technical fabrics driwick vocabulary,1/28/2017,,,
813,personal brands aspiration,1/28/2017,,,
814,,,,,
815,,,,,
816,my dad tells me not to,10/13/2016,,,
817,own anything says i won’t like it,10/13/2016,,,
818,,,,,
819,,,,,
820,people leave,10/13/2016,,,
821,things are forever,10/13/2016,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,
830,19 phrases to make you go viral,1/25/2015,,,
831,this is the,1/25/2015,,,
832,will make you,1/25/2015,,,
833,when you see,1/25/2015,,,
834,til you see,1/25/2015,,,
835,what happens when,1/25/2015,,,
836,wait until you,1/25/2015,,,
837,here are the,1/25/2015,,,
838,you see what,1/25/2015,,,
839,you need to,1/25/2015,,,
840,this is what,1/25/2015,,,
841,that will make,1/25/2015,,,
842,what this guy,1/25/2015,,,
843,what happened to,1/25/2015,,,
844,like a normal,1/25/2015,,,
845,in the world,1/25/2015,,,
846,what he did,1/25/2015,,,
847,looks like a,1/25/2015,,,
848,I’ve ever seen,1/25/2015,,,
849,how to make,1/25/2015,,,
850,blow your mind,1/25/2015,,,
851,,,,,
852,,,,,
853,,,,,
854,,,,,
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,30 day reset 21 day fix,1/7/2017,,,
860,best time of day to get groped,10/14/2016,,,
861,,,,,
862,,,,,
863,so far in the friend zone even my rifle,3/4/2017,,,
864,can’t nail her dickpics for women at funerals,3/4/2017,,,
865,,,,,
866,,,,,
867,can’t decide if line breaks,4/17/2017,,,
868,look slutty is this autocorrect,4/17/2017,,,
869,,,,,
870,,,,,
871,G I R L G I F [ silent ],1/23/2016,,,
872,we travel like currency,2/5/2016,,,
873,,,,,
874,,,,,
875,new underwear prevents rape,2/14/2017,,,
876,new smart condom answers questions like,3/3/2017,,,
877,,,,,
878,,,,,
879,what’s my thrust velocity,3/3/2017,,,
880,we love you the-toast.net get up,3/4/2017,,,
881,,,,,
882,,,,,
883,get smaller stay soft lungs,2/27/2017,,,
884,take space no air is safe,2/27/2017,,,
885,,,,,
886,,,,,
887,close your rings,1/28/2017,,,
888,email drafts tell me:,4/4/2017,,,
889,,,,,
890,,,,,
891,you're,4/4/2017,,,
892,(no subject),4/4/2017,,,
893,,,,,
894,,,,,
895,(no subject),4/4/2017,,,
896,(no subject),4/4/2017,,,
897,,,,,
898,,,,,
899,trauma infuses everything you [ do /,1/13/2017,,,
900,don’t ] even know it,1/13/2017,,,
901,,,,,
902,,,,,
903,formed a new chronic pain,1/20/2017,,,
904,whenever i speak i blot out,1/20/2017,,,
905,,,,,
906,,,,,
907,self an abstraction,2/23/2017,,,
908,self a talking to,2/23/2017,,,
909,,,,,
910,,,,,
911,,,,,
912,,,,,
913,,,,,
914,,,,,
915,,,,,
916,,,,,
917,who wants to be surrounded,3/3/2017,,,
918,who wants to be trustfell,3/3/2017,,,
919,,,,,
920,,,,,
921,altered eroded swept up furious stranded,5/19/2017,,,
922,our house once racked with weather,10/26/2015,,,
923,,,,,
924,,,,,
925,susceptible to inundation from any source,5/19/2017,,,
926,A L L B O D I E S R U S H T O W A R D,9/30/2016,,,
927,,,,,
928,,,,,
929,data spoken dada primordial blip,1/28/2017,,,
930,lungs sliced out a father’s back,9/22/2016,,,
931,,,,,
932,,,,,
933,three years i blotted out,5/22/2017,,,
934,no changes saved,5/22/2017,,,
935,,,,,
936,,,,,
937,virtual reality is,12/5/2016,,,
938,hospital ceiling,12/5/2016,,,
939,,,,,
940,,,,,
941,confronted with the ability,11/25/2016,,,
942,to travel anywhere instantly,11/25/2016,,,
943,,,,,
944,,,,,
945,most VR users visit,11/25/2016,,,
946,their childhood homes,11/25/2016,,,
947,,,,,
948,,,,,
949,elsewhen is sadder than elsewhere,11/23/2016,,,
950,turbid silt alluvium,5/16/2017,,,
951,,,,,
952,,,,,
953,unknown addresses,5/6/2016,,,
954,all point to kansas,5/6/2016,,,
955,,,,,
956,,,,,
957,mistaken center,5/8/2016,,,
958,cursed with traced calls,5/8/2016,,,
959,,,,,
960,,,,,
961,i coil into the core of a complex,9/21/2016,,,
962,reenacting automatic door smell,2/19/2017,,,
963,,,,,
964,,,,,
965,data center is a kind of nowhere,9/23/2016,,,
966,[                                                       ],9/23/2016,,,
967,,,,,
968,,,,,
969,,,,,
970,,,,,
971,,,,,
972,,,,,
973,,,,,
974,,,,,
975,rivermouth,6/17/2016,,,
976,badmouth,6/18/2016,,,
977,datamouth,6/18/2016,,,
978,deltamouth,6/18/2016,,,
979,drymouth,6/18/2016,,,
980,mouthtomouth,9/23/2016,,,
981,handtomouth,9/23/2016,,,
982,wordofmouth,9/23/2016,,,
983,foulmouth,6/18/2016,,,
984,loudmouth,9/23/2016,,,
985,cavemouth,9/23/2016,,,
986,trenchmouth,9/23/2016,,,
987,hydramouth,9/23/2016,,,
988,firemouth,6/20/2016,,,
989,fullmouth,6/20/2016,,,
990,fleshmouth,6/20/2016,,,
991,needlemouth,8/7/2016,,,
992,netmouth,8/7/2016,,,
993,tidemouth,8/23/2016,,,
994,tendermouth,8/23/2016,,,
995,troublemouth,9/23/2016,,,
996,bigmouth,9/23/2016,,,
997,bullymouth,9/23/2016,,,
998,poutmouth,9/23/2016,,,
999,pornmouth,9/23/2016,,,
1000,pinkmouth,9/23/2016,,,
1001,pottymouth,9/23/2016,,,
1002,plymouth,5/22/2017,,,
1003,partmouth,9/23/2016,,,
1004,prettymouth,5/22/2017,,,
1005,smartmouth,9/23/2016,,,
1006,slugmouth,8/7/2016,,,
1007,smashmouth,8/7/2016,,,
1008,suturemouth,8/7/2016,,,
1009,ladymouth,5/20/2016,,,
1010,unmouth,8/7/2016,,,
1011,,,,,
1012,,,,,
1013,,,,,
1014,,,,,
1015,,,,,
1016,,,,,
1017,,,,,
1018,,,,,
